dV,VICME ,Vmax,BnT,MC,NuvemTipo,DstnT,Dstdata,Dropout,DropoutTipo
70,390,420,16,2,Y-S,-107,2012/10/09/09,Y,RR
70,340,370,11,2,Y-S,-65,2012/11/01/21,Y,RL
50,380,460,21,2,N-S,-108,2012/11/14/08,Y,RL
0,390,400,12,2,S-N,-52,2013/01/17/23,Y,RR
230,520,720,9,2,S-N,-132,2013/03/17/21,Y,RR
50,400,430,10,2,N-S,-47,2013/04/30/09 ,Y,RR
30,430,460,10,1,N-S,-72,2013/05/01/19 ,Y,RR
140,660,750,7,0,I,-47,2013/05/25/07,Y,EC
30,430,510,11,2,S-N,-78,2013/06/07/02,Y,RR
70,390,450,10,2,N-S,-102,2013/06/29/07,Y,RR
10,350,370,10,2,N-S,-87,2013/06/06/01,Y,RR
60,430,500,13,2,N-S,-81,2013/07/14/23,Y,RL
30,460,470,7,1,I,-26,2013/08/21/06,Y,EC
220,470,630,7,2,S-N,-72,2013/10/02/08,Y,RR
100,480,650,6,0,I,-69,2013/10/09/02,Y,RR
0,420,460,12,2,S-N,-80,2013/11/09/08,Y,RR
0,460,480,7,1,I,-30,2013/11/11/07,Y,RR
30,300,330,11,2,Y-S,-35,2013/12/25/14,Y,EC
110,420,460,9,2,S-N,-39,2014/02/09/02,Y,RR
100,380,450,15,2,S-N,-24,2014/02/16/12,Y,RL
60,400,410,8,1,I,-67,2014/02/18/09,Y,EC
60,520,530,11,2,S-N,-119,2014/02/19/03,Y,RR
10,350,380,5,2,Y-S,-86,2014/04/12/09,Y,RR
0,310,320,9,2,Y-S,-67,2014/04/30/10,Y,RR
60,480,610,9,0,I,-37,2014/06/08/24,Y,RR
40,360,440,17,2,S-N,-28,2014/08/19/22,Y,RL
230,600,720,20,2,N-S,-88,2014/09/12/23,Y,RL
70,380,430,16,2,S-N,-71,2014/12/22/06,Y,RL
20,390,450,8,1,I,-42,2015/01/02/22,Y,EC
10,430,460,9,1,N-S,-62,2015/01/04/16,Y,EC
30,450,470,16,2,S-N,-99,2015/01/07/11,Y,RR
90,560,620,20,2,S-N,-223,2015/03/17/23,Y,RR
70,640,700,8,0,I,-43,2015/03/22/15,Y,EC
10,390,420,13,2,N-S,-29,2015/03/28/09,Y,EC
40,380,450,13,2,E,-75,2015/04/11/08,Y,EC
80,420,470,13,2,S-N,-28,2015/05/06/19,Y,RL
0,370,400,11,2,N-S,-51,2015/05/10/15,Y,RL
40,460,480,16,2,S-N,-44,2015/05/18/05,Y,RL
190,610,740,14,1,S-N,-204,2015/06/23/05,Y,RR
170,550,720,5,0,I,-86,2015/06/25/15,Y,EC
50,490,560,5,1,I,-57,2015/06/26/06,Y,EC
10,500,510,12,1,S-N,-84,2015/08/16/08,Y,RR
20,370,420,11,1,I,-92,2015/08/27/21,Y,EC
190,460,600,15,2,N-S,-94,2015/09/08/10,Y,RL
120,510,600,5,0,I,-75,2015/09/21/21,Y,RR
70,640,740,8,1,I,-60,2015/11/04/13,Y,EC
90,500,680,13,2,S-N,-89,2015/11/07/07,Y,EC
110,400,490,15,2,Y-S,-155,2015/12/20/23,Y,RR
90,440,480,10,2,S-NE,-117,2016/01/01/01,Y,RR
70,370,400,14,2,S-N,-93,2016/01/20/19,Y,RR
10,360,370,12,2,E,-4,2016/03/05/11,Y,RR
30,420,480,8,1,I,-59,2016/04/14/21,Y,EC
0,400,440,5,1,I,-25,2016/04/17/09,Y,EC
110,440,570,10,2,S-N,-23,2016/07/20/07,Y,RL
50,430,450,7,2,N-S,-34,2016/07/24/11,Y,EC
0,370,390,4,0,I,-10,2016/07/26/21,Y,EC
10,420,460,20,2,S-N,-14,2016/08/03/11,Y,EC
80,390,460,19,2,Y-S,-104,2016/10/13/18,Y,RR
50,360,370,11,2,N-S,-59,2016/11/10/18,Y,EC
